date,year,month_num,t,rate_close,log_rate,rate_lag1,rate_lag3,rate_lag6,rate_lag12,mom_lag1,mom_change_pct,yoy_change_pct,roll3m,roll6m,roll12m,vol12m,split
2017-08-01,2017,8,55,17.4,2.856470206220483,17.47,17.56,18.16,18.23,-0.69,-0.38,-4.552934722984103,17.486666666666665,17.528333333333332,17.92833333333333,0.4484079581917335,train
2017-09-01,2017,9,56,17.78,2.8780742300857587,17.4,17.59,17.65,18.12,-0.38,2.16,-1.8763796909492256,17.549999999999997,17.55,17.900000000000002,0.445931099447581,train
2017-10-01,2017,10,57,17.63,2.869601996409779,17.78,17.47,17.5,18.15,2.16,-0.87,-2.865013774104685,17.60333333333333,17.571666666666665,17.856666666666666,0.4446926074846523,train
2017-11-01,2017,11,58,17.55,2.865053949911875,17.63,17.4,17.56,18.67,-0.87,-0.41,-5.998928762720945,17.653333333333332,17.569999999999997,17.763333333333332,0.3696763531260709,train
2017-12-01,2017,12,59,17.38,2.8553201198372458,17.55,17.78,17.59,18.5,-0.41,-1.0,-6.054054054054059,17.52,17.535,17.669999999999998,0.301963272902195,train
2018-01-01,2018,1,60,17.3,2.8507065015037334,17.38,17.63,17.47,18.37,-1.0,-0.48,-5.824714207947745,17.41,17.506666666666668,17.580833333333334,0.22451800224775334,train
2018-02-01,2018,2,61,17.75,2.8763855159214247,17.3,17.55,17.4,18.16,-0.48,2.63,-2.2577092511013253,17.47666666666667,17.565,17.546666666666667,0.14574781042065,train
2018-03-01,2018,3,62,17.73,2.8752581200861167,17.75,17.38,17.78,17.65,2.63,-0.14,0.4532577903682888,17.593333333333334,17.55666666666667,17.55333333333333,0.1525738767901546,train
2018-04-01,2018,4,63,18.09,2.895359299407204,17.73,17.3,17.63,17.5,-0.14,2.05,3.3714285714285808,17.85666666666667,17.633333333333336,17.6025,0.21579135545915126,train
2018-05-01,2018,5,64,18.35,2.9096295745005794,18.09,17.75,17.55,17.56,2.05,1.46,4.498861047836011,18.05666666666667,17.766666666666666,17.668333333333333,0.30408830455919367,train
2018-06-01,2018,6,65,18.63,2.924773184613497,18.35,17.73,17.38,17.59,1.46,1.53,5.912450255827162,18.356666666666666,17.974999999999998,17.755,0.40962288643445655,train
2018-07-01,2018,7,66,18.63,2.924773184613497,18.63,18.09,17.3,17.47,1.53,0.0,6.639954207212373,18.536666666666665,18.19666666666667,17.851666666666667,0.46884448542681667,train
2018-08-01,2018,8,67,19.33,2.9616582932202395,18.63,18.35,17.75,17.4,0.0,3.73,11.091954022988505,18.86333333333333,18.459999999999997,18.0125,0.6096962731184498,train
2018-09-01,2018,9,68,19.74,2.9826470340053355,19.33,18.63,17.73,17.78,3.73,2.11,11.023622047244077,19.23333333333333,18.794999999999998,18.175833333333333,0.7803898598350136,train
2018-10-01,2018,10,69,20.13,3.0022112396517002,19.74,18.63,18.09,17.63,2.11,2.0,14.180374361883151,19.73333333333333,19.135,18.384166666666665,0.9390077774228397,train
2018-11-01,2018,11,70,18.96,2.942331496826876,20.13,19.33,18.35,17.55,2.0,-5.83,8.034188034188027,19.61,19.236666666666665,18.50166666666667,0.9129954030884163,train
2018-12-01,2018,12,71,18.94,2.9412760877579323,18.96,19.74,18.63,17.38,-5.83,-0.11,8.975834292290008,19.343333333333334,19.288333333333334,18.631666666666668,0.8474757527594071,train
2019-01-01,2019,1,72,19.31,2.960623096440423,18.94,20.13,18.63,17.3,-0.11,1.99,11.618497109826588,19.070000000000004,19.401666666666667,18.799166666666668,0.7538080094768732,train
2019-02-01,2019,2,73,19.28,2.9590682891823996,19.31,18.96,19.33,17.75,1.99,-0.16,8.61971830985917,19.176666666666666,19.393333333333334,18.926666666666666,0.686616650134843,train
2019-03-01,2019,3,74,18.83,2.935451342669061,19.28,18.94,19.74,17.73,-0.16,-2.34,6.204173716864059,19.14,19.241666666666664,19.018333333333334,0.5770116326751066,train
2019-04-01,2019,4,75,18.96,2.942331496826876,18.83,19.31,20.13,18.09,-2.34,0.66,4.809286898839149,19.02333333333333,19.046666666666667,19.090833333333332,0.49917128292494634,train
2019-05-01,2019,5,76,18.94,2.9412760877579323,18.96,19.28,18.96,18.35,0.66,-0.09,3.215258855585823,18.91,19.043333333333333,19.14,0.44576797878387087,train
2019-06-01,2019,6,77,18.77,2.9322598505984176,18.94,18.83,18.94,18.63,-0.09,-0.9,0.7514761137949577,18.89,19.015,19.151666666666667,0.43285171370871633,train
2019-07-01,2019,7,78,18.75,2.9311937524164198,18.77,18.96,19.31,18.63,-0.9,-0.12,0.6441223832528209,18.819999999999997,18.921666666666667,19.161666666666665,0.42092610738555297,train
2019-08-01,2019,8,79,19.45,2.9678470700644555,18.75,18.94,19.28,19.33,-0.12,3.76,0.6207966890843242,18.99,18.95,19.171666666666667,0.42667495257101906,train
2019-09-01,2019,9,80,19.23,2.9564715596006885,19.45,18.77,18.83,19.74,3.76,-1.13,-2.583586626139811,19.143333333333334,19.01666666666667,19.129166666666666,0.3886213004346025,train
2019-10-01,2019,10,81,19.33,2.9616582932202395,19.23,18.75,18.96,20.13,-1.13,0.49,-3.97416790859414,19.33666666666667,19.078333333333333,19.0625,0.2424543068478213,train
2019-11-01,2019,11,82,19.53,2.9719517448885875,19.33,19.45,18.94,18.96,0.49,1.07,3.0063291139240444,19.363333333333333,19.176666666666666,19.11,0.2742924782715166,train
2019-12-01,2019,12,83,19.42,2.966303462863179,19.53,19.23,18.77,18.94,1.07,-0.55,2.5343189017951406,19.426666666666666,19.285,19.150000000000002,0.28213471959325914,train
2020-01-01,2020,1,84,19.48,2.969388298214389,19.42,19.33,18.75,19.31,-0.55,0.27,0.8803728638011377,19.476666666666667,19.40666666666667,19.164166666666667,0.29487927678756104,train
2020-02-01,2020,2,85,19.75,2.9831534913471307,19.48,19.53,19.45,19.28,0.27,1.39,2.4377593360995764,19.55,19.456666666666667,19.203333333333333,0.33950052438924677,train
2020-03-01,2020,3,86,20.51,3.0209125720842893,19.75,19.42,19.23,18.83,1.39,3.86,8.921933085501887,19.913333333333338,19.67,19.343333333333334,0.4862347606087115,train
2020-04-01,2020,4,87,20.44,3.017493765335504,20.51,19.48,19.33,18.96,3.86,-0.34,7.805907172995785,20.233333333333334,19.855,19.466666666666665,0.5619662450770777,train
2020-05-01,2020,5,88,20.58,3.0243197304059035,20.44,19.75,19.53,18.94,-0.34,0.67,8.658922914466727,20.51,20.03,19.603333333333335,0.618786691596498,train
2020-06-01,2020,6,89,20.56,3.0233474405869645,20.58,20.51,19.42,18.77,0.67,-0.07,9.536494405966955,20.526666666666667,20.22,19.7525,0.615380517905915,train
2020-07-01,2020,7,90,20.39,3.015044584586364,20.56,20.44,19.48,18.75,-0.07,-0.82,8.74666666666668,20.51,20.371666666666666,19.889166666666664,0.5512705709760078,train
2020-08-01,2020,8,91,19.94,2.9927277645336923,20.39,20.58,19.75,19.45,-0.82,-2.22,2.5192802056555275,20.296666666666667,20.403333333333332,19.93,0.533649527482026,train
2020-09-01,2020,9,92,20.02,2.9967317738870745,19.94,20.56,20.51,19.23,-2.22,0.42,4.1081643265730605,20.116666666666664,20.321666666666665,19.995833333333334,0.4860500971810098,train
2020-10-01,2020,10,93,20.3,3.0106208860477417,20.02,20.39,20.44,19.33,0.42,1.35,5.018106570098313,20.086666666666666,20.298333333333332,20.076666666666668,0.44409936098154323,train
2020-11-01,2020,11,94,20.14,3.0027078872904163,20.3,19.94,20.58,19.53,1.35,-0.75,3.1233998975934485,20.153333333333332,20.224999999999998,20.1275,0.4093925655495542,train
2020-12-01,2020,12,95,19.88,2.989714201228428,20.14,20.02,20.56,19.42,-0.75,-1.29,2.368692070030876,20.106666666666666,20.111666666666665,20.165833333333335,0.3550533463972039,train
2021-01-01,2021,1,96,19.84,2.987700101856727,19.88,20.3,20.39,19.48,-1.29,-0.22,1.848049281314168,19.953333333333333,20.02,20.195833333333333,0.30326880765575676,train
2021-02-01,2021,2,97,20.12,3.0017143452315387,19.84,20.14,19.94,19.75,-0.22,1.43,1.8734177215189884,19.94666666666667,20.05,20.226666666666667,0.2709019726540469,train
2021-03-01,2021,3,98,19.91,2.991222118076105,20.12,19.88,20.02,20.51,1.43,-1.06,-2.925402242808395,19.956666666666667,20.031666666666666,20.176666666666666,0.2692188475548511,train
2021-04-01,2021,4,99,20.16,3.0037004432031678,19.91,19.84,20.3,20.44,-1.06,1.25,-1.3698630136986356,20.063333333333333,20.008333333333336,20.153333333333332,0.2561368005696066,train
2021-05-01,2021,5,100,19.74,2.9826470340053355,20.16,20.12,20.14,20.58,1.25,-2.07,-4.081632653061229,19.936666666666664,19.941666666666666,20.083333333333332,0.24339766687952683,train
2021-06-01,2021,6,101,20.24,3.0076608444192647,19.74,19.91,19.88,20.56,-2.07,2.55,-1.5564202334630406,20.046666666666667,20.00166666666667,20.05666666666667,0.20010603249876482,train
2021-07-01,2021,7,102,20.24,3.0076608444192647,20.24,20.16,19.84,20.39,2.55,-0.03,-0.735654732712121,20.073333333333334,20.06833333333333,20.044166666666666,0.18118089069073284,train
2021-08-01,2021,8,103,19.86,2.9887076586170265,20.24,19.74,20.12,19.94,-0.03,-1.86,-0.4012036108325012,20.113333333333333,20.025,20.0375,0.1867484939697561,train
2021-09-01,2021,9,104,20.19,3.005187432324746,19.86,20.24,19.91,20.02,-1.86,1.68,0.8491508491508482,20.096666666666664,20.07166666666667,20.051666666666666,0.19168313499730913,train
2021-10-01,2021,10,105,20.39,3.015044584586364,20.19,20.24,20.16,20.3,1.68,1.0,0.4433497536945774,20.146666666666665,20.11,20.059166666666666,0.2036689976555911,train
2021-11-01,2021,11,106,20.44,3.017493765335504,20.39,19.86,19.74,20.14,1.0,0.24,1.4895729890764595,20.34,20.226666666666667,20.084166666666665,0.23106308990214053,train
2021-12-01,2021,12,107,20.27,3.0091419604639085,20.44,20.19,20.24,19.88,0.24,-0.83,1.9617706237424537,20.366666666666664,20.231666666666666,20.116666666666667,0.22712965193442367,train
2022-01-01,2022,1,108,20.29,3.0101281538377234,20.27,20.39,20.24,19.84,-0.83,0.08,2.2681451612903247,20.333333333333332,20.24,20.154166666666665,0.2140712852100659,train
2022-02-01,2022,2,109,20.55,3.022860940942244,20.29,20.44,19.86,20.12,0.08,1.3,2.137176938369789,20.37,20.355,20.19,0.2419992486839808,train
2022-03-01,2022,3,110,20.66,3.0281994636914926,20.55,20.27,20.19,19.91,1.3,0.54,3.766951280763431,20.5,20.433333333333334,20.2525,0.2593391952285537,train
2022-04-01,2022,4,111,20.83,3.0363942552728806,20.66,20.29,20.39,20.16,0.54,0.81,3.3234126984126977,20.679999999999996,20.506666666666668,20.308333333333334,0.30560917803126597,train
2022-05-01,2022,5,112,21.12,3.050220458838061,20.83,20.55,20.44,19.74,0.81,1.37,6.99088145896658,20.87,20.62,20.423333333333332,0.33090326335191655,train
2022-06-01,2022,6,113,21.49,3.067587710654419,21.12,20.66,20.27,20.24,1.37,1.78,6.175889328063233,21.146666666666665,20.823333333333334,20.5275,0.4450153214931099,train
2022-07-01,2022,7,114,21.6,3.0726933146901194,21.49,20.83,20.29,20.24,1.78,0.49,6.719367588932812,21.403333333333336,21.041666666666668,20.640833333333333,0.5301707843761687,train
2022-08-01,2022,8,115,21.64,3.074543453978281,21.6,21.12,20.55,19.86,0.49,0.19,8.962739174219546,21.576666666666668,21.223333333333333,20.789166666666667,0.5407479388155974,train
2022-09-01,2022,9,116,22.19,3.0996417369445024,21.64,21.49,20.66,20.19,0.19,2.54,9.905894006934137,21.810000000000002,21.478333333333335,20.955833333333334,0.6386414320946185,train
2022-10-01,2022,10,117,22.53,3.114847754444153,22.19,21.6,20.83,20.39,2.54,1.55,10.495340853359505,22.12,21.761666666666667,21.13416666666667,0.7545433095989885,train
2022-11-01,2022,11,118,22.15,3.0978374964911444,22.53,21.64,21.12,20.44,1.55,-1.7,8.365949119373761,22.290000000000003,21.933333333333334,21.276666666666667,0.7727793208852508,train
2022-12-01,2022,12,119,22.52,3.1144038032714896,22.15,22.19,21.49,20.27,-1.7,1.68,11.100148001973364,22.400000000000002,22.105,21.464166666666667,0.7792590692251776,train
2023-01-01,2023,1,120,22.25,3.1023420086122493,22.52,22.53,21.6,20.29,1.68,-1.19,9.65993100049285,22.30666666666667,22.213333333333335,21.6275,0.7134057241659354,test
2023-02-01,2023,2,121,22.5,3.1135153092103742,22.25,22.15,21.64,20.55,-1.19,1.1,9.48905109489051,22.423333333333332,22.356666666666666,21.790000000000003,0.6661831579978569,test
2023-03-01,2023,3,122,22.37,3.107720775502038,22.5,22.52,22.19,20.66,1.1,-0.56,8.276863504356257,22.373333333333335,22.386666666666667,21.9325,0.579782482723242,test
2023-04-01,2023,4,123,22.25,3.1023420086122493,22.37,22.25,22.53,20.83,-0.56,-0.53,6.817090734517528,22.373333333333335,22.34,22.050833333333333,0.46854626885784306,test
2023-05-01,2023,5,124,22.51,3.113959654918641,22.25,22.5,22.15,21.12,-0.53,1.16,6.581439393939403,22.37666666666667,22.400000000000002,22.166666666666668,0.38117839615719407,test
2023-06-01,2023,6,125,22.35,3.106826321059578,22.51,22.37,22.52,21.49,1.16,-0.72,4.001861330851564,22.37,22.371666666666666,22.238333333333333,0.3180003811699659,test
2023-07-01,2023,7,126,22.39,3.1086144306106633,22.35,22.25,22.25,21.6,-0.72,0.18,3.657407407407409,22.416666666666668,22.395,22.30416666666667,0.2478804086040248,test
2023-08-01,2023,8,127,22.51,3.113959654918641,22.39,22.51,22.5,21.64,0.18,0.56,4.0203327171904,22.416666666666668,22.396666666666665,22.376666666666665,0.13950127619705696,test
2023-09-01,2023,9,128,22.6,3.1179499062782403,22.51,22.35,22.37,22.19,0.56,0.4,1.8476791347453725,22.5,22.435000000000002,22.410833333333333,0.13983485931193868,test
2023-10-01,2023,10,129,22.67,3.1210424645194377,22.6,22.39,22.25,22.53,0.4,0.28,0.6213936972925049,22.593333333333334,22.505,22.4225,0.1556292213739326,test
2023-11-01,2023,11,130,22.69,3.1219242987917504,22.67,22.51,22.51,22.15,0.28,0.13,2.4379232505643555,22.653333333333336,22.535,22.4675,0.1475327390476823,test
2023-12-01,2023,12,131,22.65,3.120159851929043,22.69,22.6,22.35,22.52,0.13,-0.21,0.5772646536412074,22.67,22.585000000000004,22.478333333333335,0.1562534848096324,test
2024-01-01,2024,1,132,22.61,3.1183922862898785,22.65,22.67,22.39,22.25,-0.21,-0.15,1.6179775280898756,22.650000000000002,22.621666666666666,22.508333333333336,0.1423716859832033,test
2024-02-01,2024,2,133,22.57,3.1166215908294443,22.61,22.69,22.51,22.5,-0.15,-0.2,0.3111111111111064,22.61,22.63166666666667,22.514166666666668,0.14342931951652235,test
2024-03-01,2024,3,134,22.69,3.1219242987917504,22.57,22.65,22.6,22.37,-0.2,0.55,1.4304872597228346,22.623333333333335,22.646666666666665,22.540833333333335,0.14393548639035342,test
